year	month	passengers
1949	January	1050
1949	February	1100
1949	March	1150
1949	April	1200
1949	May	1250
1949	June	1300
1949	July	1350
1949	August	1400
1949	September	1450
1949	October	1500
1949	November	1550
1949	December	1600
1950	January	1055
1950	February	1105
1950	March	1155
1950	April	1205
1950	May	1255
1950	June	1305
1950	July	1355
1950	August	1405
1950	September	1455
1950	October	1505
1950	November	1555
1950	December	1605
1951	January	1060
1951	February	1110
1951	March	1160
1951	April	1210
1951	May	1260
1951	June	1310
1951	July	1360
1951	August	1410
1951	September	1460
1951	October	1510
1951	November	1560
1951	December	1610
1952	January	1065
1952	February	1115
1952	March	1165
1952	April	1215
1952	May	1265
1952	June	1315
1952	July	1365
1952	August	1415
1952	September	1465
1952	October	1515
1952	November	1565
1952	December	1615
1953	January	1070
1953	February	1120
1953	March	1170
1953	April	1220
1953	May	1270
1953	June	1320
1953	July	1370
1953	August	1420
1953	September	1470
1953	October	1520
1953	November	1570
1953	December	1620
1954	January	1075
1954	February	1125
1954	March	1175
1954	April	1225
1954	May	1275
1954	June	1325
1954	July	1375
1954	August	1425
1954	September	1475
1954	October	1525
1954	November	1575
1954	December	1625
1955	January	1080
1955	February	1130
1955	March	1180
1955	April	1230
1955	May	1280
1955	June	1330
1955	July	1380
1955	August	1430
1955	September	1480
1955	October	1530
1955	November	1580
1955	December	1630
1956	January	1085
1956	February	1135
1956	March	1185
1956	April	1235
1956	May	1285
1956	June	1335
1956	July	1385
1956	August	1435
1956	September	1485
1956	October	1535
1956	November	1585
1956	December	1635
1957	January	1090
1957	February	1140
1957	March	1190
1957	April	1240
1957	May	1290
1957	June	1340
1957	July	1390
1957	August	1440
1957	September	1490
1957	October	1540
1957	November	1590
1957	December	1640
1958	January	1095
1958	February	1145
1958	March	1195
1958	April	1245
1958	May	1295
1958	June	1345
1958	July	1395
1958	August	1445
1958	September	1495
1958	October	1545
1958	November	1595
1958	December	1645
1959	January	1100
1959	February	1150
1959	March	1200
1959	April	1250
1959	May	1300
1959	June	1350
1959	July	1400
1959	August	1450
1959	September	1500
1959	October	1550
1959	November	1600
1959	December	1650
1960	January	1105
1960	February	1155
1960	March	1205
1960	April	1255
1960	May	1305
1960	June	1355
1960	July	1405
1960	August	1455
1960	September	1505
1960	October	1555
1960	November	1605
1960	December	1655
1961	January	1110
1961	February	1160
1961	March	1210
1961	April	1260
1961	May	1310
1961	June	1360
1961	July	1410
1961	August	1460
1961	September	1510
1961	October	1560
1961	November	1610
1961	December	1660
1962	January	1115
1962	February	1165
1962	March	1215
1962	April	1265
1962	May	1315
1962	June	1365
1962	July	1415
1962	August	1465
1962	September	1515
1962	October	1565
1962	November	1615
1962	December	1665
1963	January	1120
1963	February	1170
1963	March	1220
1963	April	1270
1963	May	1320
1963	June	1370
1963	July	1420
1963	August	1470
1963	September	1520
1963	October	1570
1963	November	1620
1963	December	1670
1964	January	1125
1964	February	1175
1964	March	1225
1964	April	1275
1964	May	1325
1964	June	1375
1964	July	1425
1964	August	1475
1964	September	1525
1964	October	1575
1964	November	1625
1964	December	1675
1965	January	1130
1965	February	1180
1965	March	1230
1965	April	1280
1965	May	1330
1965	June	1380
1965	July	1430
1965	August	1480
1965	September	1530
1965	October	1580
1965	November	1630
1965	December	1680
1966	January	1135
1966	February	1185
1966	March	1235
1966	April	1285
1966	May	1335
1966	June	1385
1966	July	1435
1966	August	1485
1966	September	1535
1966	October	1585
1966	November	1635
1966	December	1685
1967	January	1140
1967	February	1190
1967	March	1240
1967	April	1290
1967	May	1340
1967	June	1390
1967	July	1440
1967	August	1490
1967	September	1540
1967	October	1590
1967	November	1640
1967	December	1690
1968	January	1145
1968	February	1195
1968	March	1245
1968	April	1295
1968	May	1345
1968	June	1395
1968	July	1445
1968	August	1495
1968	September	1545
1968	October	1595
1968	November	1645
1968	December	1695
1969	January	1150
1969	February	1200
1969	March	1250
1969	April	1300
1969	May	1350
1969	June	1400
1969	July	1450
1969	August	1500
1969	September	1550
1969	October	1600
1969	November	1650
1969	December	1700
1970	January	1155
1970	February	1205
1970	March	1255
1970	April	1305
1970	May	1355
1970	June	1405
1970	July	1455
1970	August	1505
1970	September	1555
1970	October	1605
1970	November	1655
1970	December	1705
1971	January	1160
1971	February	1210
1971	March	1260
1971	April	1310
1971	May	1360
1971	June	1410
1971	July	1460
1971	August	1510
1971	September	1560
1971	October	1610
1971	November	1660
1971	December	1710
1972	January	1165
1972	February	1215
1972	March	1265
1972	April	1315
1972	May	1365
1972	June	1415
1972	July	1465
1972	August	1515
1972	September	1565
1972	October	1615
1972	November	1665
1972	December	1715
1973	January	1170
1973	February	1220
1973	March	1270
1973	April	1320
1973	May	1370
1973	June	1420
1973	July	1470
1973	August	1520
1973	September	1570
1973	October	1620
1973	November	1670
1973	December	1720
1974	January	1175
1974	February	1225
1974	March	1275
